
**********************************************************
Atom Playback Data:   0
Log started: 10 Aug 2016 10:35:12am

LOG START
512 0 0 1000
1024 3 0 997
1536 3 0 997
2048 7 0 993
2560 7 0 993
3072 13 0 987
3584 13 0 987
4096 21 0 979
4608 21 0 979
5120 33 0 967
5632 33 0 967
6144 35 0 965
6656 25 0 975
7168 28 0 972
7680 24 0 976
8192 28 0 972
8704 27 0 973
9216 32 0 968
9728 30 0 970
10240 32 0 968
10752 27 0 973
11264 31 0 969
11776 29 0 971
12288 36 0 964
12800 35 0 965
13312 54 0 946
13824 53 0 947
14336 57 0 943
14848 57 0 943
15360 61 0 939
15872 57 0 943
16384 60 0 940
16896 35 0 965
17408 39 0 961
17920 37 0 963
18432 42 0 958
18944 39 0 961
19456 44 0 956
19968 39 0 961
20480 46 0 954
20992 44 0 956
21504 50 0 950
22016 48 0 952
22528 97 0 903
23040 94 0 906
23552 97 0 903
24064 49 0 951
24576 56 0 944
25088 48 0 952
25600 55 0 945
26112 49 0 951
26624 52 0 948
27136 47 0 953
27648 52 0 948
28160 46 0 954
28672 57 0 943
29184 56 0 944
29696 133 0 867
30208 129 0 871
30720 139 0 861
31232 133 0 867
31744 137 0 863
32256 125 0 875
32768 128 0 872
33280 56 0 944
33792 64 0 936
34304 60 0 940
34816 65 0 935
35328 59 0 941
35840 60 0 940
36352 51 0 949
36864 60 0 940
37376 56 0 944
37888 62 0 938
38400 61 0 939
38912 68 0 932
39424 65 0 935
39936 84 0 916
40448 78 0 922
40960 86 0 914
41472 64 0 936
41984 68 0 932
42496 59 0 941
43008 61 0 939
43520 58 0 942
44032 71 0 929
44544 65 0 935
45056 67 0 933
45568 58 0 942
46080 66 0 934
46592 62 0 938
47104 77 0 923
47616 73 0 927
48128 87 0 913
48640 85 0 915
49152 151 0 849
49664 141 0 859
50176 152 0 848
50688 91 0 909
51200 111 0 889
51712 101 0 899
52224 121 0 879
52736 107 0 893
53248 192 0 808
53760 187 0 813
54272 200 0 800
54784 188 0 812
55296 200 0 800
55808 190 0 810
56320 200 0 800
56832 110 0 890
57344 118 0 882
57856 111 0 889
58368 144 0 856
58880 127 0 873
59392 196 0 804
59904 178 0 822
60416 188 0 812
60928 114 0 886
61440 118 0 882
61952 84 0 916
62464 89 0 911
62976 82 0 918
63488 87 0 913
64000 75 0 925
64512 77 0 923
65024 68 0 932
65536 75 0 925
66048 66 0 934
66560 72 0 928
67072 68 0 932
67584 79 0 921
68096 71 0 929
68608 86 0 914
69120 81 0 919
69632 120 0 880
70144 114 0 886
70656 124 0 876
71168 116 0 884
71680 118 0 882
72192 109 0 891
72704 114 0 886
73216 80 0 920
73728 87 0 913
74240 77 0 923
74752 86 0 914
75264 78 0 922
75776 81 0 919
76288 63 0 937
76800 66 0 934
77312 59 0 941
77824 65 0 935
78336 61 0 939
78848 63 0 937
79360 58 0 942
79872 60 0 940
80384 58 0 942
80896 60 0 940
81408 51 0 949
81920 51 0 949
82432 46 0 954
82944 51 0 949
83456 42 0 958
83968 42 0 958
84480 37 0 963
84992 38 0 962
85504 34 0 966
86016 38 0 962
86528 36 0 964
87040 41 0 959
87552 40 0 960
88064 42 0 958
88576 38 0 962
89088 38 0 962
89600 35 0 965
90112 37 0 963
90624 29 0 971
91136 36 0 964
91648 36 0 964
92160 36 0 964
92672 35 0 965
93184 35 0 965
93696 29 0 971
94208 29 0 971
94720 24 0 976
95232 27 0 973
95744 26 0 974
96256 28 0 972
96768 26 0 974
97280 26 0 974
97792 26 0 974
98304 30 0 970
98816 25 0 975
99328 30 0 970
99840 30 0 970
100352 30 0 970
100864 29 0 971
101376 29 0 971
101888 26 0 974
102400 27 0 973
102912 22 0 978
103424 31 0 969
103936 27 0 973
104448 29 0 971
