
**********************************************************
Atom Playback Data:   0
Log started: 10 Aug 2016 11:05:57am

LOG START
512 0 0 10000
1024 42 0 9958
1536 42 0 9958
2048 112 0 9888
2560 112 0 9888
3072 180 0 9820
3584 180 0 9820
4096 200 0 9800
4608 200 0 9800
5120 200 0 9800
5632 200 0 9800
6144 200 0 9800
6656 200 0 9800
7168 200 0 9800
7680 200 0 9800
8192 200 0 9800
8704 200 0 9800
9216 200 0 9800
9728 200 0 9800
10240 200 0 9800
10752 200 0 9800
11264 200 0 9800
11776 200 0 9800
12288 200 0 9800
12800 200 0 9800
13312 200 0 9800
13824 200 0 9800
14336 200 0 9800
14848 200 0 9800
15360 200 0 9800
15872 200 0 9800
16384 200 0 9800
16896 200 0 9800
17408 200 0 9800
17920 200 0 9800
18432 200 0 9800
18944 200 0 9800
19456 200 0 9800
19968 200 0 9800
20480 200 0 9800
20992 200 0 9800
21504 200 0 9800
22016 200 0 9800
22528 200 0 9800
23040 200 0 9800
23552 200 0 9800
24064 200 0 9800
24576 200 0 9800
25088 200 0 9800
25600 200 0 9800
26112 200 0 9800
26624 200 0 9800
27136 200 0 9800
27648 200 0 9800
28160 200 0 9800
28672 200 0 9800
29184 200 0 9800
29696 200 0 9800
30208 200 0 9800
30720 200 0 9800
31232 200 0 9800
31744 200 0 9800
32256 200 0 9800
32768 200 0 9800
33280 200 0 9800
33792 200 0 9800
34304 200 0 9800
34816 200 0 9800
35328 200 0 9800
35840 200 0 9800
36352 200 0 9800
36864 200 0 9800
37376 200 0 9800
37888 200 0 9800
38400 200 0 9800
38912 200 0 9800
39424 200 0 9800
39936 200 0 9800
40448 200 0 9800
40960 200 0 9800
41472 200 0 9800
41984 200 0 9800
42496 200 0 9800
43008 200 0 9800
43520 200 0 9800
44032 200 0 9800
44544 200 0 9800
45056 200 0 9800
45568 200 0 9800
46080 200 0 9800
46592 200 0 9800
47104 200 0 9800
47616 200 0 9800
48128 200 0 9800
48640 200 0 9800
49152 200 0 9800
49664 200 0 9800
50176 200 0 9800
50688 200 0 9800
51200 200 0 9800
51712 200 0 9800
52224 200 0 9800
52736 200 0 9800
53248 200 0 9800
53760 200 0 9800
54272 200 0 9800
54784 200 0 9800
55296 200 0 9800
55808 200 0 9800
56320 200 0 9800
56832 200 0 9800
57344 200 0 9800
57856 200 0 9800
58368 200 0 9800
58880 200 0 9800
59392 200 0 9800
59904 200 0 9800
60416 200 0 9800
60928 200 0 9800
61440 200 0 9800
61952 200 0 9800
62464 200 0 9800
62976 200 0 9800
63488 200 0 9800
64000 200 0 9800
64512 200 0 9800
65024 200 0 9800
65536 200 0 9800
66048 200 0 9800
66560 200 0 9800
67072 200 0 9800
67584 200 0 9800
68096 200 0 9800
68608 200 0 9800
69120 200 0 9800
69632 200 0 9800
70144 200 0 9800
70656 200 0 9800
71168 200 0 9800
71680 200 0 9800
72192 200 0 9800
72704 200 0 9800
73216 200 0 9800
73728 200 0 9800
74240 200 0 9800
74752 200 0 9800
75264 200 0 9800
75776 200 0 9800
76288 200 0 9800
76800 200 0 9800
77312 200 0 9800
77824 200 0 9800
78336 200 0 9800
78848 200 0 9800
79360 200 0 9800
79872 200 0 9800
80384 200 0 9800
80896 200 0 9800
81408 200 0 9800
81920 200 0 9800
82432 200 0 9800
82944 200 0 9800
83456 187 0 9813
83968 196 0 9804
84480 167 0 9833
84992 172 0 9828
85504 147 0 9853
86016 155 0 9845
86528 129 0 9871
87040 141 0 9859
87552 135 0 9865
88064 148 0 9852
88576 128 0 9872
89088 131 0 9869
89600 116 0 9884
90112 121 0 9879
90624 105 0 9895
91136 125 0 9875
91648 117 0 9883
92160 119 0 9881
92672 108 0 9892
93184 112 0 9888
93696 100 0 9900
94208 102 0 9898
94720 91 0 9909
95232 95 0 9905
95744 85 0 9915
96256 93 0 9907
96768 86 0 9914
97280 87 0 9913
97792 78 0 9922
98304 89 0 9911
98816 80 0 9920
99328 100 0 9900
99840 94 0 9906
100352 95 0 9905
100864 88 0 9912
101376 91 0 9909
101888 82 0 9918
102400 91 0 9909
102912 79 0 9921
103424 101 0 9899
103936 83 0 9917
104448 87 0 9913
104960 78 0 9922
105472 200 0 9800
105984 200 0 9800
106496 200 0 9800
107008 0 0 10000
