
**********************************************************
Atom Playback Data:   0
Log started: 10 Aug 2016 10:51:49am

LOG START
512 0 0 10000
1024 42 0 9958
1536 42 0 9958
2048 112 0 9888
2560 112 0 9888
3072 180 0 9820
3584 180 0 9820
4096 451 0 9549
4608 450 0 9550
5120 500 0 9500
5632 500 0 9500
6144 500 0 9500
6656 500 0 9500
7168 500 0 9500
7680 339 0 9661
8192 388 0 9612
8704 356 0 9644
9216 389 0 9611
9728 322 0 9678
10240 360 0 9640
10752 294 0 9706
11264 358 0 9642
11776 314 0 9686
12288 365 0 9635
12800 341 0 9659
13312 500 0 9500
13824 500 0 9500
14336 500 0 9500
14848 500 0 9500
15360 500 0 9500
15872 500 0 9500
16384 500 0 9500
16896 398 0 9602
17408 444 0 9556
17920 409 0 9591
18432 451 0 9549
18944 383 0 9617
19456 470 0 9530
19968 434 0 9566
20480 500 0 9500
20992 474 0 9526
21504 500 0 9500
22016 500 0 9500
22528 500 0 9500
23040 500 0 9500
23552 500 0 9500
24064 500 0 9500
24576 500 0 9500
25088 500 0 9500
25600 500 0 9500
26112 500 0 9500
26624 500 0 9500
27136 500 0 9500
27648 500 0 9500
28160 500 0 9500
28672 500 0 9500
29184 500 0 9500
29696 500 0 9500
30208 500 0 9500
30720 500 0 9500
31232 500 0 9500
31744 500 0 9500
32256 500 0 9500
32768 500 0 9500
33280 500 0 9500
33792 500 0 9500
34304 500 0 9500
34816 500 0 9500
35328 500 0 9500
35840 500 0 9500
36352 500 0 9500
36864 500 0 9500
37376 500 0 9500
37888 500 0 9500
38400 500 0 9500
38912 500 0 9500
39424 500 0 9500
39936 500 0 9500
40448 500 0 9500
40960 500 0 9500
41472 500 0 9500
41984 500 0 9500
42496 500 0 9500
43008 500 0 9500
43520 487 0 9513
44032 500 0 9500
44544 499 0 9501
45056 500 0 9500
45568 500 0 9500
46080 500 0 9500
46592 500 0 9500
47104 500 0 9500
47616 500 0 9500
48128 500 0 9500
48640 500 0 9500
49152 500 0 9500
49664 500 0 9500
50176 500 0 9500
50688 500 0 9500
51200 500 0 9500
51712 500 0 9500
52224 500 0 9500
52736 500 0 9500
53248 500 0 9500
53760 500 0 9500
54272 500 0 9500
54784 500 0 9500
55296 500 0 9500
55808 500 0 9500
56320 500 0 9500
56832 500 0 9500
57344 500 0 9500
57856 500 0 9500
58368 500 0 9500
58880 500 0 9500
59392 500 0 9500
59904 500 0 9500
60416 500 0 9500
60928 500 0 9500
61440 500 0 9500
61952 500 0 9500
62464 500 0 9500
62976 500 0 9500
63488 500 0 9500
64000 500 0 9500
64512 500 0 9500
65024 500 0 9500
65536 500 0 9500
66048 500 0 9500
66560 500 0 9500
67072 500 0 9500
67584 500 0 9500
68096 500 0 9500
68608 500 0 9500
69120 500 0 9500
69632 500 0 9500
70144 500 0 9500
70656 500 0 9500
71168 500 0 9500
71680 500 0 9500
72192 500 0 9500
72704 500 0 9500
73216 500 0 9500
73728 500 0 9500
74240 500 0 9500
74752 500 0 9500
75264 500 0 9500
75776 500 0 9500
76288 492 0 9508
76800 500 0 9500
77312 459 0 9541
77824 477 0 9523
78336 404 0 9596
78848 415 0 9585
79360 339 0 9661
79872 351 0 9649
80384 289 0 9711
80896 305 0 9695
81408 246 0 9754
81920 258 0 9742
82432 211 0 9789
82944 219 0 9781
83456 187 0 9813
83968 196 0 9804
84480 167 0 9833
84992 172 0 9828
85504 147 0 9853
86016 155 0 9845
86528 129 0 9871
87040 141 0 9859
87552 135 0 9865
88064 148 0 9852
88576 128 0 9872
89088 131 0 9869
89600 116 0 9884
90112 121 0 9879
90624 105 0 9895
91136 125 0 9875
91648 117 0 9883
92160 119 0 9881
92672 108 0 9892
93184 112 0 9888
93696 100 0 9900
94208 102 0 9898
94720 91 0 9909
95232 95 0 9905
95744 85 0 9915
96256 93 0 9907
96768 86 0 9914
97280 87 0 9913
97792 78 0 9922
98304 89 0 9911
98816 80 0 9920
99328 100 0 9900
99840 94 0 9906
100352 95 0 9905
100864 88 0 9912
101376 91 0 9909
101888 82 0 9918
102400 91 0 9909
102912 79 0 9921
103424 101 0 9899
103936 83 0 9917
104448 87 0 9913
104960 78 0 9922
105472 500 0 9500
105984 500 0 9500
106496 500 0 9500
107008 0 0 10000
